age_GTS2004,age_GTS2012,age_GTS2016,age_GTS2020,d18O_sw
11.792,11.83120602,11.831,11.831,0.982172575
11.872,11.90995745,11.91,11.91,0.956102204
11.981,12.0168344,12.017,12.017,0.995593702
12.07,12.11808624,12.118,12.118,1.008870101
12.158,12.21933808,12.219,12.219,0.904221972
12.251,12.31496482,12.315,12.315,0.766807381
12.361,12.42184176,12.422,12.422,0.740785253
12.542,12.57934462,12.579,12.579,0.885185391
12.658,12.67497136,12.675,12.675,0.983619857
12.719,12.72559728,12.726,12.726,1.029566232
12.912,12.92247586,12.922,12.922,1.154379822
13.012,13.02935281,13.029,13.029,1.187319958
13.125,13.13060465,13.131,13.131,1.180942269
13.222,13.22060628,13.221,13.221,1.154891195
13.326,13.32185812,13.322,13.322,1.148513506
13.427,13.42310997,13.423,13.423,1.174892631
13.524,13.52436181,13.524,13.524,1.207823118
13.622,13.62561365,13.626,13.626,1.155585891
13.722,13.72686549,13.727,13.727,0.867499606
13.825,13.82249223,13.822,13.822,0.507338684
13.935,13.92374407,13.924,13.924,0.409241918
14.046,14.02499591,14.025,14.025,0.52734012
14.149,14.12062265,14.121,14.121,0.632325948
14.245,14.22187449,14.222,14.222,0.639050984
14.333,14.32312633,14.323,14.323,0.580262394
14.421,14.42437817,14.424,14.424,0.521473804
14.509,14.52563001,14.526,14.526,0.52819884
14.603,14.62688185,14.627,14.627,0.561129328
14.727,14.72813369,14.728,14.728,0.580957089
14.826,14.81813533,14.818,14.818,0.574560103
14.93,14.92501227,14.925,14.928,0.581294789
15.027,15.02626411,15.026,15.034,0.633879364
15.122,15.12189085,15.122,15.143,0.673351565
15.229,15.2287678,15.229,15.254,0.594918535
15.324,15.32439453,15.324,15.349,0.464055307
15.426,15.42564638,15.426,15.45,0.477331706
15.521,15.52127311,15.521,15.545,0.641279799
15.628,15.62815006,15.628,15.651,0.792144463
15.729,15.7294019,15.729,15.751,0.811972225
15.825,15.82502864,15.825,15.846,0.766276711
15.926,15.92628048,15.926,15.947,0.759899022
16.022,16.02190722,16.022,16.038,0.825576674
16.123,16.12315906,16.123,16.129,0.917469426
16.23,16.230036,16.23,16.227,0.963512287
16.326,16.32566274,16.326,16.362,0.937470861
16.427,16.42691458,16.427,16.412,0.865579546
